STATE NAME,PARTY TYPE,PARTY NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN STATE,SEATS WON,TOTAL VALID VOTES POLLED BY PARTY,% OF VALID VOTES POLLED BY PARTY,TOTAL SEATS IN STATE,% SEATS WON
Andaman & Nicobar Islands,N,Indian National Congress,205884.0,318471.0,1.0,95308.0,46.29,1.0,100.0
Andaman & Nicobar Islands,N,All India Trinamool Congress,205884.0,318471.0,0.0,1721.0,0.84,1.0,0.0
Andaman & Nicobar Islands,N,Bahujan Samaj Party,205884.0,318471.0,0.0,2486.0,1.21,1.0,0.0
Andhra Pradesh,S,Yuvajana Sramika Rythu Congress Party,31143712.0,39405967.0,22.0,15537006.0,49.89,25.0,88.0
Andhra Pradesh,S,Telugu Desam,31143712.0,39405967.0,3.0,12515345.0,40.19,25.0,12.0
Andhra Pradesh,N,Bahujan Samaj Party,31143712.0,39405967.0,0.0,83613.0,0.27,25.0,0.0
Arunachal Pradesh,N,Bharatiya Janata Party,644627.0,803563.0,2.0,379679.0,58.9,2.0,100.0
Arunachal Pradesh,N,Indian National Congress,644627.0,803563.0,0.0,134888.0,20.92,2.0,0.0
Arunachal Pradesh,S,All India Forward Bloc,644627.0,803563.0,0.0,1921.0,0.3,2.0,0.0
Assam,N,Bharatiya Janata Party,17807713.0,22050059.0,9.0,6484596.0,36.41,14.0,64.28571428571429
Assam,N,Indian National Congress,17807713.0,22050059.0,3.0,6373659.0,35.79,14.0,21.428571428571427
Assam,S,All India United Democratic Front,17807713.0,22050059.0,1.0,1402088.0,7.87,14.0,7.142857142857142
Bihar,N,Bharatiya Janata Party,39989711.0,71216290.0,17.0,9619548.0,24.06,40.0,42.5
Bihar,S,Janata Dal  (United),39989711.0,71216290.0,16.0,8902719.0,22.26,40.0,40.0
Bihar,S,Lok Jan Shakti Party,39989711.0,71216290.0,6.0,3206979.0,8.02,40.0,15.0
Chandigarh,N,Bharatiya Janata Party,452233.0,646729.0,1.0,231188.0,51.12,1.0,100.0
Chandigarh,N,Bahujan Samaj Party,452233.0,646729.0,0.0,7396.0,1.64,1.0,0.0
Chandigarh,N,Indian National Congress,452233.0,646729.0,0.0,184218.0,40.74,1.0,0.0
Chhattisgarh,N,Bharatiya Janata Party,13418188.0,19016462.0,9.0,6902477.0,51.44,11.0,81.81818181818183
Chhattisgarh,N,Indian National Congress,13418188.0,19016462.0,2.0,5569183.0,41.5,11.0,18.181818181818183
Chhattisgarh,N,Bahujan Samaj Party,13418188.0,19016462.0,0.0,313261.0,2.33,11.0,0.0
Dadra & Nagar Haveli,Z,Independent,196033.0,250029.0,1.0,97458.0,49.72,1.0,100.0
Dadra & Nagar Haveli,N,Bahujan Samaj Party,196033.0,250029.0,0.0,948.0,0.48,1.0,0.0
Dadra & Nagar Haveli,N,Bharatiya Janata Party,196033.0,250029.0,0.0,81420.0,41.53,1.0,0.0
Daman & Diu,N,Bharatiya Janata Party,85982.0,121740.0,1.0,37597.0,43.73,1.0,100.0
Daman & Diu,N,Bahujan Samaj Party,85982.0,121740.0,0.0,792.0,0.92,1.0,0.0
Daman & Diu,N,Indian National Congress,85982.0,121740.0,0.0,27655.0,32.16,1.0,0.0
Goa,N,Bharatiya Janata Party,840704.0,1136113.0,1.0,436650.0,51.94,2.0,50.0
Goa,N,Indian National Congress,840704.0,1136113.0,1.0,366158.0,43.55,2.0,50.0
Goa,S,Aam Aadmi Party,840704.0,1136113.0,0.0,25647.0,3.05,2.0,0.0
Gujarat,N,Bharatiya Janata Party,28681032.0,45152373.0,26.0,18091275.0,63.08,26.0,100.0
Gujarat,N,Bahujan Samaj Party,28681032.0,45152373.0,0.0,249184.0,0.87,26.0,0.0
Gujarat,N,Communist Party of India,28681032.0,45152373.0,0.0,5735.0,0.02,26.0,0.0
Haryana,N,Bharatiya Janata Party,12639755.0,18057010.0,10.0,7357347.0,58.21,10.0,100.0
Haryana,N,Bahujan Samaj Party,12639755.0,18057010.0,0.0,461273.0,3.65,10.0,0.0
Haryana,N,Communist Party of India,12639755.0,18057010.0,0.0,7563.0,0.06,10.0,0.0
Himachal Pradesh,N,Bharatiya Janata Party,3817724.0,5330154.0,4.0,2661281.0,69.71,4.0,100.0
Himachal Pradesh,N,Bahujan Samaj Party,3817724.0,5330154.0,0.0,32780.0,0.86,4.0,0.0
Himachal Pradesh,N,Communist Party of India  (Marxist),3817724.0,5330154.0,0.0,14838.0,0.39,4.0,0.0
Jammu & Kashmir,N,Bharatiya Janata Party,3530883.0,7922538.0,3.0,1648041.0,46.68,6.0,50.0
Jammu & Kashmir,S,Jammu & Kashmir National Conference,3530883.0,7922538.0,3.0,280356.0,7.94,6.0,50.0
Jammu & Kashmir,N,Bahujan Samaj Party,3530883.0,7922538.0,0.0,30877.0,0.87,6.0,0.0
Jharkhand,N,Bharatiya Janata Party,14772593.0,22404856.0,11.0,7623987.0,51.61,14.0,78.57142857142857
Jharkhand,N,Indian National Congress,14772593.0,22404856.0,1.0,2338466.0,15.83,14.0,7.142857142857142
Jharkhand,S,AJSU Party,14772593.0,22404856.0,1.0,648277.0,4.39,14.0,7.142857142857142
Karnataka,N,Bharatiya Janata Party,34887872.0,51094530.0,25.0,18053454.0,51.75,28.0,89.28571428571429
Karnataka,N,Indian National Congress,34887872.0,51094530.0,1.0,11203016.0,32.11,28.0,3.571428571428571
Karnataka,S,Janata Dal  (Secular),34887872.0,51094530.0,1.0,3397229.0,9.74,28.0,3.571428571428571
Kerala,N,Indian National Congress,20281620.0,26204836.0,15.0,7596610.0,37.46,20.0,75.0
Kerala,S,Indian Union Muslim League,20281620.0,26204836.0,2.0,1111697.0,5.48,20.0,10.0
Kerala,N,Communist Party of India  (Marxist),20281620.0,26204836.0,1.0,5266510.0,25.97,20.0,5.0
Lakshadweep,N,Nationalist Congress Party,46909.0,55189.0,1.0,22851.0,48.71,1.0,100.0
Lakshadweep,N,Bharatiya Janata Party,46909.0,55189.0,0.0,125.0,0.27,1.0,0.0
Lakshadweep,N,Communist Party of India,46909.0,55189.0,0.0,143.0,0.3,1.0,0.0
Madhya Pradesh,N,Bharatiya Janata Party,36569626.0,51867474.0,28.0,21406911.0,58.54,29.0,96.55172413793103
Madhya Pradesh,N,Indian National Congress,36569626.0,51867474.0,1.0,12733074.0,34.82,29.0,3.4482758620689653
Madhya Pradesh,N,Bahujan Samaj Party,36569626.0,51867474.0,0.0,878013.0,2.4,29.0,0.0
Maharashtra,N,Bharatiya Janata Party,53565479.0,88676946.0,23.0,14912139.0,27.84,48.0,47.91666666666667
Maharashtra,S,Shivsena,53565479.0,88676946.0,18.0,12589064.0,23.5,48.0,37.5
Maharashtra,N,Nationalist Congress Party,53565479.0,88676946.0,4.0,8387363.0,15.66,48.0,8.333333333333332
Manipur,N,Bharatiya Janata Party,1611941.0,1959563.0,1.0,553377.0,34.33,2.0,50.0
Manipur,S,Naga Peoples Front,1611941.0,1959563.0,1.0,363527.0,22.55,2.0,50.0
Manipur,N,Communist Party of India,1611941.0,1959563.0,0.0,133813.0,8.3,2.0,0.0
Meghalaya,N,Indian National Congress,1356357.0,1914796.0,1.0,660114.0,48.67,2.0,50.0
Meghalaya,S,National People's Party,1356357.0,1914796.0,1.0,304455.0,22.45,2.0,50.0
Meghalaya,N,Bharatiya Janata Party,1356357.0,1914796.0,0.0,108390.0,7.99,2.0,0.0
Mizoram,S,Mizo National Front,497112.0,792464.0,1.0,224286.0,45.12,1.0,100.0
Mizoram,N,Bharatiya Janata Party,497112.0,792464.0,0.0,28707.0,5.77,1.0,0.0
Mizoram,U,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,497112.0,792464.0,0.0,13323.0,2.68,1.0,0.0
NCT OF Delhi,N,Bharatiya Janata Party,8633358.0,14327649.0,7.0,4908541.0,56.86,7.0,100.0
NCT OF Delhi,N,Bahujan Samaj Party,8633358.0,14327649.0,0.0,93977.0,1.09,7.0,0.0
NCT OF Delhi,N,Indian National Congress,8633358.0,14327649.0,0.0,1953900.0,22.63,7.0,0.0
Nagaland,S,Nationalist Democratic Progressive Party,1004293.0,1213777.0,1.0,500510.0,49.84,1.0,100.0
Nagaland,N,Indian National Congress,1004293.0,1213777.0,0.0,484166.0,48.21,1.0,0.0
Nagaland,S,National People's Party,1004293.0,1213777.0,0.0,14997.0,1.49,1.0,0.0
Odisha,S,Biju Janata Dal,23483298.0,32497762.0,12.0,10174021.0,43.32,21.0,57.14285714285714
Odisha,N,Bharatiya Janata Party,23483298.0,32497762.0,8.0,9130768.0,38.88,21.0,38.095238095238095
Odisha,N,Indian National Congress,23483298.0,32497762.0,1.0,3285339.0,13.99,21.0,4.761904761904762
Puducherry,N,Indian National Congress,778561.0,973410.0,1.0,444981.0,57.15,1.0,100.0
Puducherry,N,Bahujan Samaj Party,778561.0,973410.0,0.0,2689.0,0.35,1.0,0.0
Puducherry,S,All India N.R. Congress,778561.0,973410.0,0.0,247956.0,31.85,1.0,0.0
Punjab,N,Indian National Congress,13611009.0,20892673.0,8.0,5523066.0,40.58,13.0,61.53846153846154
Punjab,N,Bharatiya Janata Party,13611009.0,20892673.0,2.0,1325445.0,9.74,13.0,15.384615384615385
Punjab,S,Shiromani Akali Dal,13611009.0,20892673.0,2.0,3778574.0,27.76,13.0,15.384615384615385
Rajasthan,N,Bharatiya Janata Party,32113505.0,48955813.0,24.0,18968392.0,59.07,25.0,96.0
Rajasthan,U,Rashtriya Loktantrik Party,32113505.0,48955813.0,1.0,660051.0,2.06,25.0,4.0
Rajasthan,N,Bahujan Samaj Party,32113505.0,48955813.0,0.0,348678.0,1.09,25.0,0.0
